nonblocking: 0.008035, num_procs: 36, N: 50
nonblocking: 0.024949, num_procs: 36, N: 50
nonblocking: 0.015365, num_procs: 36, N: 50
nonblocking: 0.000115, num_procs: 36, N: 50
nonblocking: 0.000069, num_procs: 36, N: 50
nonblocking: 0.000060, num_procs: 36, N: 50
nonblocking: 0.000060, num_procs: 36, N: 50
nonblocking: 0.000323, num_procs: 36, N: 50
fence: 0.440518, num_procs: 36, N: 50
fence: 0.015861, num_procs: 36, N: 50
fence: 0.008619, num_procs: 36, N: 50
fence: 0.013151, num_procs: 36, N: 50
fence: 0.006831, num_procs: 36, N: 50
fence: 0.005577, num_procs: 36, N: 50
fence: 0.007639, num_procs: 36, N: 50
fence: 0.011791, num_procs: 36, N: 50
fence: 0.010675, num_procs: 36, N: 50
fence: 0.007072, num_procs: 36, N: 50
pscw: 0.085184, num_procs: 36, N: 50
pscw: 0.013875, num_procs: 36, N: 50
pscw: 0.008534, num_procs: 36, N: 50
pscw: 0.011273, num_procs: 36, N: 50
pscw: 0.012184, num_procs: 36, N: 50
pscw: 0.003819, num_procs: 36, N: 50
pscw: 0.005981, num_procs: 36, N: 50
pscw: 0.003275, num_procs: 36, N: 50
pscw: 0.008686, num_procs: 36, N: 50
pscw: 0.004986, num_procs: 36, N: 50
nonblocking: 0.066773, num_procs: 36, N: 150
nonblocking: 0.000845, num_procs: 36, N: 150
nonblocking: 0.000888, num_procs: 36, N: 150
nonblocking: 0.001307, num_procs: 36, N: 150
nonblocking: 0.000841, num_procs: 36, N: 150
nonblocking: 0.000854, num_procs: 36, N: 150
nonblocking: 0.000837, num_procs: 36, N: 150
nonblocking: 0.000837, num_procs: 36, N: 150
nonblocking: 0.000822, num_procs: 36, N: 150
nonblocking: 0.000984, num_procs: 36, N: 150
fence: 0.453254, num_procs: 36, N: 150
fence: 0.006785, num_procs: 36, N: 150
fence: 0.004938, num_procs: 36, N: 150
fence: 0.005254, num_procs: 36, N: 150
fence: 0.004580, num_procs: 36, N: 150
fence: 0.004655, num_procs: 36, N: 150
fence: 0.004611, num_procs: 36, N: 150
fence: 0.005042, num_procs: 36, N: 150
fence: 0.004831, num_procs: 36, N: 150
fence: 0.004812, num_procs: 36, N: 150
pscw: 0.087748, num_procs: 36, N: 150
pscw: 0.005518, num_procs: 36, N: 150
pscw: 0.005179, num_procs: 36, N: 150
pscw: 0.005017, num_procs: 36, N: 150
pscw: 0.004993, num_procs: 36, N: 150
pscw: 0.004919, num_procs: 36, N: 150
pscw: 0.005017, num_procs: 36, N: 150
pscw: 0.004911, num_procs: 36, N: 150
pscw: 0.005392, num_procs: 36, N: 150
pscw: 0.004972, num_procs: 36, N: 150
nonblocking: 0.070554, num_procs: 36, N: 250
nonblocking: 0.003383, num_procs: 36, N: 250
nonblocking: 0.003479, num_procs: 36, N: 250
nonblocking: 0.003624, num_procs: 36, N: 250
nonblocking: 0.003380, num_procs: 36, N: 250
nonblocking: 0.003343, num_procs: 36, N: 250
nonblocking: 0.003131, num_procs: 36, N: 250
nonblocking: 0.003109, num_procs: 36, N: 250
nonblocking: 0.003124, num_procs: 36, N: 250
nonblocking: 0.003301, num_procs: 36, N: 250
fence: 0.418383, num_procs: 36, N: 250
fence: 0.010876, num_procs: 36, N: 250
fence: 0.018194, num_procs: 36, N: 250
fence: 0.011437, num_procs: 36, N: 250
fence: 0.011053, num_procs: 36, N: 250
fence: 0.011968, num_procs: 36, N: 250
fence: 0.012162, num_procs: 36, N: 250
fence: 0.012205, num_procs: 36, N: 250
fence: 0.012104, num_procs: 36, N: 250
fence: 0.012056, num_procs: 36, N: 250
pscw: 0.095102, num_procs: 36, N: 250
pscw: 0.012678, num_procs: 36, N: 250
pscw: 0.013237, num_procs: 36, N: 250
pscw: 0.012985, num_procs: 36, N: 250
pscw: 0.010147, num_procs: 36, N: 250
pscw: 0.009543, num_procs: 36, N: 250
pscw: 0.009675, num_procs: 36, N: 250
pscw: 0.009669, num_procs: 36, N: 250
pscw: 0.010065, num_procs: 36, N: 250
pscw: 0.009021, num_procs: 36, N: 250
nonblocking: 0.102385, num_procs: 36, N: 350
nonblocking: 0.009491, num_procs: 36, N: 350
nonblocking: 0.009043, num_procs: 36, N: 350
nonblocking: 0.009301, num_procs: 36, N: 350
nonblocking: 0.008412, num_procs: 36, N: 350
nonblocking: 0.008213, num_procs: 36, N: 350
nonblocking: 0.008038, num_procs: 36, N: 350
nonblocking: 0.007875, num_procs: 36, N: 350
nonblocking: 0.007898, num_procs: 36, N: 350
nonblocking: 0.007440, num_procs: 36, N: 350
fence: 0.441195, num_procs: 36, N: 350
fence: 0.011700, num_procs: 36, N: 350
fence: 0.027340, num_procs: 36, N: 350
fence: 0.025246, num_procs: 36, N: 350
fence: 0.026186, num_procs: 36, N: 350
fence: 0.023054, num_procs: 36, N: 350
fence: 0.022071, num_procs: 36, N: 350
fence: 0.025034, num_procs: 36, N: 350
fence: 0.022014, num_procs: 36, N: 350
fence: 0.027101, num_procs: 36, N: 350
pscw: 0.102301, num_procs: 36, N: 350
pscw: 0.025506, num_procs: 36, N: 350
pscw: 0.027783, num_procs: 36, N: 350
pscw: 0.026021, num_procs: 36, N: 350
pscw: 0.023760, num_procs: 36, N: 350
pscw: 0.022950, num_procs: 36, N: 350
pscw: 0.023396, num_procs: 36, N: 350
pscw: 0.022712, num_procs: 36, N: 350
pscw: 0.024414, num_procs: 36, N: 350
pscw: 0.022686, num_procs: 36, N: 350
nonblocking: 0.086246, num_procs: 49, N: 100
nonblocking: 0.000217, num_procs: 49, N: 100
nonblocking: 0.001167, num_procs: 49, N: 100
nonblocking: 0.014978, num_procs: 49, N: 100
nonblocking: 0.000213, num_procs: 49, N: 100
nonblocking: 0.000275, num_procs: 49, N: 100
nonblocking: 0.000224, num_procs: 49, N: 100
nonblocking: 0.000224, num_procs: 49, N: 100
nonblocking: 0.000352, num_procs: 49, N: 100
nonblocking: 0.000370, num_procs: 49, N: 100
fence: 0.552565, num_procs: 49, N: 100
fence: 0.018656, num_procs: 49, N: 100
fence: 0.011455, num_procs: 49, N: 100
fence: 0.014068, num_procs: 49, N: 100
fence: 0.010833, num_procs: 49, N: 100
fence: 0.011075, num_procs: 49, N: 100
fence: 0.014781, num_procs: 49, N: 100
fence: 0.006188, num_procs: 49, N: 100
fence: 0.004801, num_procs: 49, N: 100
fence: 0.008382, num_procs: 49, N: 100
pscw: 0.143100, num_procs: 49, N: 100
pscw: 0.013949, num_procs: 49, N: 100
pscw: 0.019154, num_procs: 49, N: 100
pscw: 0.045726, num_procs: 49, N: 100
pscw: 0.012150, num_procs: 49, N: 100
pscw: 0.009586, num_procs: 49, N: 100
pscw: 0.018071, num_procs: 49, N: 100
pscw: 0.014959, num_procs: 49, N: 100
pscw: 0.014675, num_procs: 49, N: 100
pscw: 0.017615, num_procs: 49, N: 100
nonblocking: 0.070822, num_procs: 49, N: 200
nonblocking: 0.001495, num_procs: 49, N: 200
nonblocking: 0.001975, num_procs: 49, N: 200
nonblocking: 0.001738, num_procs: 49, N: 200
nonblocking: 0.001512, num_procs: 49, N: 200
nonblocking: 0.001621, num_procs: 49, N: 200
nonblocking: 0.001546, num_procs: 49, N: 200
nonblocking: 0.001540, num_procs: 49, N: 200
nonblocking: 0.001598, num_procs: 49, N: 200
nonblocking: 0.001903, num_procs: 49, N: 200
fence: 0.502672, num_procs: 49, N: 200
fence: 0.008171, num_procs: 49, N: 200
fence: 0.006984, num_procs: 49, N: 200
fence: 0.008075, num_procs: 49, N: 200
fence: 0.057363, num_procs: 49, N: 200
fence: 0.008166, num_procs: 49, N: 200
fence: 0.007561, num_procs: 49, N: 200
fence: 0.008391, num_procs: 49, N: 200
fence: 0.007556, num_procs: 49, N: 200
fence: 0.007599, num_procs: 49, N: 200
pscw: 0.140671, num_procs: 49, N: 200
pscw: 0.041020, num_procs: 49, N: 200
pscw: 0.008621, num_procs: 49, N: 200
pscw: 0.008615, num_procs: 49, N: 200
pscw: 0.008227, num_procs: 49, N: 200
